"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Missing"	"Injuries"	"Damage ($Mil)"	"Houses Destroyed"	"Total Deaths"	"Total Missing"	"Total Injuries"	"Total Damage ($Mil)"	"Total Houses Destroyed"
"[""1200 <= Year >= 2021""]"																									
	1789	6	7				"CHINA"		30	"CHINA:  YUNNAN PROVINCE:  TONGHAI, HUANING"	24.2	102.8		6.5	9										
	1789	9	30	4			"ITALY"		130	"ITALY:  CITTA DI CASTELLO,SANSEPOLCRO"	43.5	12.2			10	500									
	1789	11	7				"CHINA"		30	"CHINA:  SHAANXI PROVINCE:  TONGGUAN"	34.6	110.3		5	6										
	1790	10	9	1	3075		"ALGERIA"		15	"ALGERIA:  ORAN; SPAIN:  CARTAGENA, SANTA FE"	35.7	-0.6			10	3000					3000				
	1790	12	2	1			"RUSSIA"		50	"RUSSIA:  NEAR KAMCHATKA"	54	162	20	7.5	10										
	1791	4	8				"CHINA"		30	"CHINA:  FUJIAN PROVINCE"	24.5	117.7		5.5	7										
	1791	4	15		556		"RUSSIA"		50	"RUSSIA:  KAMCHATKA"	56	163	20	6.8	9										
	1791	9	13		558		"JAPAN"		30	"JAPAN:  OSAKA BAY"	34.5	135.4		6.5											
	1791	10	12	17			"ITALY"		130	"ITALY:  MONTELEONE,SORIANO CALABRO, CAPRI"	38.5	16.1			9	15									
	1791	10	22				"GREECE"		130	"GREECE:  ZAKINTHOS (ZANTE)"	37.5	20.3			10	22									
	1791	11	2	21	559		"GREECE"		130	"GREECE:  ZANTE, GASTUNI"	35.8	21		7	10	50		80			50		80		
	1791						"IRAN"		140	"IRAN:  KHOT,TABRIZ,REZAIYEH,KHANEH,VAN,ERZERUM"	38	46.2													
	1791						"GUATEMALA"		100	"GUATEMALA:  SAN MARCOS"	14.6	-91.5													
	1791						"MOROCCO"		15	"MOROCCO:  MELILLA"	35.3	-2.97													
	1792	5	21		568	932	"JAPAN"		30	"JAPAN:  KYUSYU ISLAND"	32.8	130.3		6.4							15030		707		6200
	1792	6	13		569		"JAPAN"		30	"JAPAN:  W. HOKKAIDO ISLAND"	43.5	140.6		6.9											
	1792	8	9		3577		"TAIWAN"		30	"TAIWAN:  JIAYI, TAINAN"	23.6	120.5		6.8	9	252		432		14889	252		432		14889
	1792	8	22	18	570		"RUSSIA"		50	"RUSSIA:  NEAR KAMCHATKA"	54	162	40	8.4	11										
	1792	9	7				"CHINA"		30	"CHINA:  SICHUAN PROVINCE:  N OF QIANNING"	31	101.5		6	8	205					205				
	1792				560		"USA"	"AK"	150	"ALASKA:  KODIAK ISLAND"	57	-152			7										
	1793	2	8	3	572		"JAPAN"		30	"JAPAN:   AOMORI"	40.85	139.95		6.9		12				164	12				164
	1793	2	17		573		"JAPAN"		30	"JAPAN:  SANRIKU,RIKUZEN,RIKUCHU"	38.5	144		8.3		25				1060	745				1160
	1793	4	12				"HAITI"		90	"HAITI:  SANTO DOMINGO (ST DOMINGUE)"	19	-72.3													
	1793	5	15				"CHINA"		30	"CHINA:  SICHUAN PROVINCE:  NEAR QIANNING"	30.6	101.5		6	8	200		30			200		30		
	1793	7					"AZORES (PORTUGAL)"		130	"AZORES:  FLORES"	39.3	-31.1			10										
	1794	3	14				"IRAN"		140	"IRAN:  KASHAN"	34	51.4													
	1794	9	10				"VENEZUELA"		160	"VENEZUELA:  CUMANA"	10.47	-64.17			9										
	1795	5	20	22			"SIERRA LEONE"		10	"SIERRA LEONE"	9.3	-13.4		5.2	5										
	1795	5	23				"MEXICO"		150	"MEXICO:  OAXACA"	17	-96.3													
	1795				5585		"TRINIDAD AND TOBAGO"		90	"TRINIDAD:  PORT-OF-SPAIN"	10.7	-61.7													
	1796	2	15				"COLOMBIA"		160	"COLOMBIA:  N SANTANDER,PAMPLONA"	7.4	-72.7													
	1796	2	26				"SYRIA"		140	"SYRIA:  AL-LADHIQIYAH (LATAKIA)"	35.2	35.8			9	1500									
	1796	3	18				"ITALY"		130	"ITALY:  CASAMICCIOLA"	40.5	13.9				7									
	1796	3	30	10			"CHILE"		160	"CHILE:  COPIAPO, VALLENAR, HUASCO, COQUIMBO"	-27.35	-70.35		7.7	11										
	1796	11	5	6	3682		"PHILIPPINES"		170	"PHILIPPINES:   LUZON:  PANGASINAN, BAGUIO, ZAMBALES"	16	119.5			9										
	1797	2	4	12			"ECUADOR"		160	"ECUADOR:  RIOBAMBA, QUITO, CUZCO"	-1.64	-78.67		8.3	11	40000					40000				
	1797	2	10		576		"INDONESIA"		60	"SW. SUMATRA"	0.001	99		8	9						300				
	1797	12	14				"VENEZUELA"		160	"VENEZUELA:  CUMANA, CARIACO"	10.6	-64.1			9	16000					16000				
	1798	2	2				"EL SALVADOR"		100	"EL SALVADOR:  SAN SALVADOR"															
	1798	2	22		579		"COSTA RICA"		90	"COSTA RICA: MATINA"	10.2	-82.9			6										
	1798	5	26				"ITALY"		130	"ITALY:  FIRENZE (FLORENCE)"	43.5	11.2			10										
	1798	6					"GREECE"		130	"GREECE:  S"	36.2	23			10										
	1798	8	24				"CHILE"		160	"CHILE:  COPIAPO"	-27.35	-70.35													
	1799	1	25				"FRANCE"		120	"FRANCE:  MACHECOUL,BOUIN,ST GILLES,NANTES"	46.9	-2			8										
	1799	6	29		583		"JAPAN"		30	"JAPAN:  SW. HONSHU ISLAND"	36.6	136.6		6.4											
	1799	7	28				"ITALY"		130	"ITALY:  CAMERINO"	43.1	13			10	60									
	1799	7	29	20			"ITALY"		130	"ITALY:  CAMERINO"	43.1	13.1			10										
	1799	8	27				"CHINA"		30	"CHINA:  YUNNAN PROVINCE"	23.8	102.4		6.5	9	2000				15236	2000				15236
	1799	9					"COLOMBIA"		160	"COLOMBIA:  CARTAGO"	7.5	-73.5		5	7										
	1799						"UZBEKISTAN"		40	"UZBEKISTAN:  UZGUT"	39.4	67.2	10	6	9										
	1799				581		"PERU"		160	"PERU:  LIMA, CALLAO"	-12	-77													
	1800	3	8				"MEXICO"		150	"MEXICO:  MEXICO CITY,OAXACA"	19.2	-99.1													
	1800						"IRAN"		140	"IRAN:  DAMAVAND"	36.2	53.3		6.5											
	1800						"CANARY ISLANDS"		10	"CANARY ISLANDS:  PENON DE LA GOMERA"	28.1	-17.1													
	1801	5	5				"MEXICO"		150	"MEXICO:  OAXACA"	17	-96.3				7									
	1801	5	14	21			"SWITZERLAND"		120	"SWITZERLAND"	46.9	8.6			4										
	1802	3	19		585		"ANTIGUA AND BARBUDA"		90	"ANTIGUA ISLAND &  ST. CHRISTOPHER"	17.2	-62.4													
	1802	5	12	9			"ITALY"		130	"ITALY:  SONCINO"	45.5	10			9										
	1802	8	15		2376		"VENEZUELA"		160	"VENEZUELA: CUMANA"	10.3	-64.5													
	1802	8			586		"INDONESIA"		170	"INDONESIA:  BANDA SEA"	-3.7	128.2			10										
	1802	10	26	10			"ROMANIA"		110	"ROMANIA:  CARPATHIAN FOLD,VRANCEA"	45.7	26.6	150	7.4	10										
	1802	11	7		3215		"ALGERIA"		15	"ALGERIA:  KOLEA, BLIDA, ALGIERS"	36.5	2.9								1100					1100
	1802	12	9	5	588		"JAPAN"		30	"JAPAN:  NW HONSHU:  SADO ISLAND, OGI"	37.7	138.3		6.6		19				1060	19				1060
	1803	2	1				"CHINA"		30	"CHINA:  YUNNAN PROVINCE"	25.6	100.6		6	8	200									
	1803	9	1				"INDIA"		60	"INDIA:  UTTARAKHAND, MATHURA (MUTTRA)"	31	79		7.5											
	1804	1	8		590		"GREECE"		130	"GREECE:  ACHAIA:  PATRAI (PATRAS)"	38.3	21.8			9										
	1804	1	13	17	4278		"SPAIN"		130	"SPAIN:  ALMERIA:  DALIAS"	36.833	-2.833			8										
	1804	6	8	1	591		"GREECE"		130	"GREECE:  PATRAI"	38.2	21.8			10										
	1804	7	10	13	593		"JAPAN"		30	"JAPAN:  KISAKATA"	39.05	139.95		7.3		450				10810	450				10810
	1804	8	25	8			"SPAIN"		130	"SPAIN: ALMERIA, DALIAS, ROQUETAS"	36.9	-2.4			10	173		200		2500	173		200		2500
	1805	1	27	13			"VENEZUELA"		160	"VENEZUELA:  CUMANA"	10.5	-64.2			8										
	1805	6	16	8			"COLOMBIA"		160	"COLOMBIA:  HONDA,MARIQUITA"	5.37	-74.87	15	6.1	8	200					200				
	1805	7	26	20			"ITALY"		130	"ITALY:  MOLISE, ROSOLONE, NAPOLI (NAPLES), ISERNIA"	41.2	14.7			11	5600									
	1805						"IRAN"		140	"IRAN:  BABOL"	36.3	52.4													
	1806	3	25	8	2467		"USA"	"CA"	150	"CALIFORNIA:  SANTA BARBARA"	34.4	-119.7			6										
	1806	3	25				"MEXICO"		150	"MEXICO:  JALISCO,OAXACA,MICHOACAN"	18.9	-103.8		7.5											
	1806	6	11				"CHINA"		40	"CHINA:  TIBET (XIZANG PROVINCE):  SHANNAN (LHOKA)"	28.5	92		7.7		100					100				
	1806	8	26	13	3218		"ITALY"		130	"ITALY:  TYRRHENIAN SEA"	41.7	12.7			8										
	1806	12	1	23	596		"PERU"		160	"PERU:  LIMA"	-12.1	-77.1	30	7.5	8										
	1808	4	2	16	3219		"ITALY"		130	"ITALY:  VALLEY OF PELLICE, CHISONE"	44.833	7.25		5.7	9	2					2				
	1808	4					"MOROCCO"		15	"MOROCCO:  MELILLA"	35.3	-2.97													
	1808	8	8		599		"JAPAN"		30	"E. AWA, TOKUSHIMA PREFECTURE"	33.9	134.8		6.5											
	1808	10	9				"IRAN"		140	"IRAN:  DODANGEH, E MAZANDARAN"	36.3	53.3													
	1808	12	16				"IRAN"		140	"IRAN:  QAZVIN-TALEQAN"	36.2	50													
	1808						"ECUADOR"		160	"ECUADOR:  QUITO"	-0.217	-78.5													
	1809	12	4		602		"SOUTH AFRICA"		10	"SOUTH AFRICA:  CAPE OF GOOD HOPE"	-33.88	18.45													
	1809	12	7				"IRAN"		140	"IRAN:  SARI,AMOL,MAZANDARAN"	36.3	53													
	1809				2933		"USA TERRITORY"	"GU"	170	"GUAM"	14	143.3													
	1810	2	16		3642		"GREECE"		130	"GREECE:  CRETE:  IRAKLION (CANDIA)"	35.5	25	100		10	2000					2000				
	1810	3	20				"CANARY ISLANDS"		10	"CANARY ISLANDS:  TENERIFE"	28.2	-16.6			9										
	1810	8	27		5702		"MEXICO"		150	"MEXICO:  BAJA CALIFORNIA: LORETO"	26	-111.35		7.4	9										
	1810	9	25		603		"JAPAN"		30	"JAPAN:  OGA"	39.9	139.9		6.6		59				1804	59				1804
	1810	10					"CUBA"		90	"CUBA:  HAVANA,SANTIAGO DE CUBA"	23.8	-82.2													
	1811	1	1	5			"GEORGIA"		40	"GEORGIA:  KAKHETIYA"	41.8	45.2	7	4.2	7										
	1811	3	18				"TAIWAN"		30	"TAIWAN:  DANSHUI:  OFF WEST COAST"	25.2	121.3		7		21		21			21		21		
	1811	9	27				"CHINA"		30	"CHINA:  SICHUAN PROVINCE:  E. OF GANZE"	31.7	100.3		6.5	8	480				598	480				598
	1811	10	5				"PHILIPPINES"		170	"PHILIPPINES:  CAMARINES"	13.1	123.9			9										
	1811	11	19	14	604		"CHILE"		160	"CHILE:  VALPARAISO"	-33.08	-71.67													
	1811	12	16	8	2442		"USA"	"AR"	150	"ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)"	35.6	-90.4		7.5	11										
	1811	12	16	13	2443		"USA"	"AR"	150	"ARKANSAS: NORTHEAST (NEW MADRID EARTHQUAKES)"	35.6	-90.4		7	10										
	1812	1	23	15	2444		"USA"	"MO"	150	"MISSOURI:  NEW MADRID"	36.3	-89.6		7.3	10										
	1812	2	7	9	2445		"USA"	"MO"	150	"MISSOURI:  NEW MADRID"	36.5	-89.6		7.5									1		
	1812	3	8				"CHINA"		40	"CHINA:  XINJIANG PROVINCE"	43.7	83		8											
	1812	3	22				"ITALY"		130	"ITALY:  ROMA (ROME)"	41.9	12.45			7										
	1812	3	23				"FRANCE"		120	"FRANCE:  BEAUMONT,PIERREVERT,SAINTE TULLE,MANOSQUE"	43.7	5.7			9										
	1812	3	26	20	607		"VENEZUELA"		160	"VENEZUELA:  LA GUAIRA"	10.6	-66.9	33	7.7	10	26000					26000				
	1812	6	23		3538		"FRANCE"		120	"FRANCE:"	43.3	5.366													
	1812	11	11	10	608		"JAMAICA"		90	"JAMAICA:  KINGSTON"	18	-76.8													
	1812	12	7				"JAPAN"		30	"JAPAN"	35.4	139.6		6.6											
	1812	12	8	15			"USA"	"CA"	150	"CALIFORNIA:   SAN JUAN CAPISTRANO"	34.37	-117.65		6.9	8	40					40				
	1812	12	21	19	609		"USA"	"CA"	150	"CALIFORNIA:   PURISIMA"	34.2	-119.9		7.5	8	1					1				
	1813	3	30	9			"PERU"		160	"PERU:  ICA"	-14.1	-75.4			7	32					32				
	1813						"IRAN"		140	"IRAN:  SHIRAZ"	29.6	52.6													
	1814	2	2				"PHILIPPINES"		170	"PHILIPPINES:  SE LUZON:  ALBAY"	13.1	123.9			7										
	1814	2	4				"CHINA"		30	"CHINA:  HENAN PROVINCE"	35.8	114.4		5.3	7	4					4				
	1814	5	22				"FRANCE"		120	"FRANCE:  GAN,OLORON,LOUVIE-JUZON,BENEJACQ,TARBES"	43.2	0.4			7										
	1814	11	24				"CHINA"		30	"CHINA:  YUNNAN PROVINCE:  SIPING"	23.7	102.5		6	8	900				900	900				900
	1814				611		"INDONESIA"		60	"INDONESIA:  TIMOR ISLAND, KUPANG, KISSAR ISLAND"	-10.217	123.633													
	1815	4	11		3132		"INDONESIA"		170	"INDONESIA:  AMBON ISLAND"	-3.7	128.4													
	1815	5	3				"MEXICO"		150	"MEXICO:  OAXACA,TAMAZULAPAN"	17	-96.3													
	1815	10	13				"TAIWAN"		30	"TAIWAN:"	25.2	121.2		6.5	8	111					111				
	1815	10	23				"CHINA"		30	"CHINA:  SHANXI PROVINCE"	34.8	111.2		6.8	9	13000				20000	13000				20000
	1815	11	22		615		"INDONESIA"		60	"INDONESIA:  BALI"	-8	115	150	7	9	10253					11453				
	1815	12					"GREECE"		130	"GREECE:  CRETE"	35	25.75			9										
	1815						"GREECE"		130	"GREECE:  IONIAN ISLANDS:  LEUKAS"	38.8	20.5			8										
	1816	2	2	0	5787		"PORTUGAL"		130	"PORTUGAL:  LISBON"				7	8										
	1816	5	1		616		"INDONESIA"		60	"INDONESIA; MALAYSIA:  PENANG ISLAND"	5	96.5													
	1816	7	22	15			"GUATEMALA"		100	"GUATEMALA:  SOLOMA"	15.5	-91.5	33	7.5	9	23					23				
	1816	12	8				"CHINA"		30	"CHINA:  SICHUAN PROVINCE"	31.4	100.7		6.5	8	2854				1104	2854				1104
	1817	1	8		2446		"USA"	"PA"	150	"PENNSYLVANIA:  PHILADELPHIA"	39.95	-75.1													
	1817	3	11	20			"FRANCE"		120	"FRANCE:  CHAMONIX VALLEY"	45.9	6.8		8		4									
	1817	4					"CHINA"		30	"CHINA:  SICHUAN PROVINCE:  CHANGLI"										11000					11000
	1817	8	23		619		"GREECE"		130	"GREECE:  ACHAIA:  AEGHION"	38.25	22.25		6.8	10										
	1818	2	20	18			"ITALY"		130	"ITALY:  ACIREALE, CATANIA, CALABRIA"	37.6	15			10	72					72				
	1818	2	23	18	3224		"ITALY"		130	"ITALY:  LIGURIA; FRANCE:  VENCE, GRASSE, NICE"	43.917	8.033			10										
	1818	3	18		621		"INDONESIA"		60	"INDONESIA:  SUMATRA:  BENGKULU"	-4	101.5		7	9										
	1818	3	31				"MEXICO"		150	"MEXICO"	19.1	-103.6		7.5											
	1818	4	23				"BULGARIA"		110	"BULGARIA"	42.8	23.3			10										
	1818	5	31				"MEXICO"		150	"MEXICO:  MORELOS-GUERRERO,MEXICO CITY,GUADALAJARA"	19.2	-99.1													
	1818	9	8	9			"ITALY"		130	"ITALY:  MADONIE"	37.8	14			10	100					100				
	1818	11	8		622		"INDONESIA"		60	"INDONESIA:  SUMBAWA ISLAND:  BIMA"	-7	117	600	8.5											
	1819	2	24				"CHINA"		30	"CHINA: QINGHAI PROVINCE"	36.1	102.3		5.8	7	126		58		108	126		58		108
	1819	3					"ALGERIA"		15	"ALGERIA:  MASCARA"	35.07	0.02			10										
	1819	4	3	14			"CHILE"		160	"CHILE:  COPIAPO"	-27.4	-70.3		8											
	1819	4	4	20			"CHILE"		160	"CHILE:  COPIAPO"	-27.4	-70.3		8											
	1819	4	12	3	626		"CHILE"		160	"CHILE:  COPIAPO"	-27	-71.5		8.5	10										
	1819	5	26	17			"ITALY"		130	"ITALY"	42.5	11.8			9										
	1819	6	16	23	629		"INDIA"		60	"INDIA:  RANN OF KUTCH,AHMADABAD,POONAH,BHOOJ"	23	71		7.7	11	1543				1547	1543				1547
	1819	8	31		630		"NORWAY"		120	"NORWAY: RANA REGION: LUROY"	66.416	12.85		5.8	7										
	1820	3	1		631	5044	"USA"	"AK"	150	"ALASKA:  EAST ALEUTIAN ISLANDS"	54.52	-164.65													
	1820	3	17				"GREECE"		130	"GREECE:  LEVKAS"	38.8	20.5			9										
	1820	5	4		633		"MEXICO"		150	"MEXICO:  GUERRERO, OAXACA, PUEBLA, VERACRUZ"	17.2	-99.6		7.6											
	1820	8	3				"CHINA"		30	"CHINA:  HENAN PROVINCE"	34.1	113.8		6	8	430		590		26040			590		26040
	1820	10	9				"IRAN"		140	"IRAN:  SHIRAZ"	29.6	52.5													
	1820	10	19				"HONDURAS"		100	"HONDURAS: OMOA, SAN PEDRO SULA"	15.7	-88													
	1820	12	29	3	3271		"GREECE"		130	"GREECE:  ZAKINTHOS (ZANTE)"	37.75	21.25		6.9	10	8				79	8				79
	1820	12	29		635		"INDONESIA"		60	"INDONESIA:  SULAWESI:  MAKASAR"	-7	119	80	7.5	10						500				
	1820						"VENEZUELA"		160	"VENEZUELA:  CUMANA"	10.5	-64.2													
	1820						"IRAN"		140	"IRAN:  MAZANDARAN"	36.5	53.5													
	1820				3561		"CONGO"		10	"CONGO:  LOANGO"	-4.5	11.6		6.2	5										
	1821	1	6	17	637		"GREECE"		130	"GREECE:  ZAKINTHOS (ZANTE)"	37.8	21.2			10										
	1821	4	8				"MOROCCO"		15	"MOROCCO:  MELILLA"	35.3	-2.97													
	1821	5			4315		"UK TERRITORY"		70	"UNITED KINGDOM:  BRITIAN"	-15.95	-5.7									3				
	1821	7	10	13			"PERU"		160	"PERU:  CAMANA, OCONA, CARAVELI"	-16.107	-72.967			8	162					162				
	1821	11	17	13			"ROMANIA"		110	"ROMANIA"	45.7	26.6		6.7	8										
	1822	5	7		640		"COSTA RICA"		90	"COSTA RICA:  MATINA"	10.1	-83.3		7.6	7										
	1822	6	18				"CHINA"		30	"CHINA:  GANSU PROVINCE"	33	104.6		5.5	7	23		20		70	12		20		70
	1822	8	13		3274		"TURKEY"		140	"TURKEY:  ANTAKYA; SYRIA:  HALAB,DIMASHQ (DAMASCUS);"	36	36			11	8000					8000				
	1822	9	5				"TURKEY"		140	"TURKEY; SYRIA:  DIMASHQ (DAMASCUS), HALAB; CYPRUS"	36	36			11	20000					20000				
	1822	11	20	2	641		"CHILE"		160	"CHILE:  VALPARAISO, QUILLOTA, CONCON,  ACONCAGUA"	-33	-72		8.5	11	72		200			72		200		
	1822	11	25	12			"CHILE"		160	"CHILE"	-33.05	-71.63			10										
	1822	12	1				"GRENADA"		90	"GRENADA"	12.1	-64.1													
	1823	3	5	16			"ITALY"		130	"ITALY:  NASO, SICILY"	38.1	14.7			10	22									
	1823	5	30		2448		"USA"	"NY"	150	"LAKE ERIE (GREAT LAKES)"	42.7	-79													
	1823	6	19				"GREECE"		130	"GREECE:  THESPROTIKON"	39.75	20.75			9										
	1823	8					"VENEZUELA"		160	"VENEZUELA:  CARIACO, MARGARITA ISLAND"	10.5	-63.8			8										
	1823	9	7				"IRAN"		140	"IRAN:  MAZANDARAN"	36.3	53.3													
	1823	9	9		643		"INDONESIA"		60	"INDONESIA:  JAVA"	-6.5	108.5	150	6.8											
	1823	10					"CROATIA"		130	"BALKANS NW:  CROATIA:  DUBROVNIK"	42.7	18.2													
	1823	11	30		644		"MARTINIQUE"		90	"MARTINIQUE: SAINT PIERRE HARBOR"	14.4	-61.1													
	1823						"IRAN"		140	"IRAN:  SHIRAZ"	29.6	52.5													
	1824	4	10				"JAMAICA"		90	"JAMAICA:  KINGSTON"	18	-76.5													
	1824	6	2				"IRAN"		140	"IRAN:  KAZIRUN, SHAHPUR"	29.7	51.6													
	1824	6	25				"IRAN"		140	"IRAN:  SHIRAZ, GUYUM"	29.8	52.4		6.4	8										
	1824	9	13		646		"GUADELOUPE"		90	"GUADELOUPE: BASSE TERRE"	16.7	-62.2													
	1824	9	29	6			"PHILIPPINES"		170	"PHILIPPINES:  SE LUZON:  TAYABAS,RIZAL,LAGUNA"	13.7	121.7													
	1824	10	26		647		"PHILIPPINES"		170	"PHILIPPINES:  MANILA,SAN FRANCISCO"	14.25	121.25													
	1824	11	30		648		"MARTINIQUE"		90	"MARTINIQUE: SAINT PIERRE"	14.4	-61													
	1825	1	19	11	653		"GREECE"		130	"GREECE:  IONIAN ISLANDS:  LEUKAS"	38.75	20.75		6.8	11	58					58				
	1825	2	26		651		"COLOMBIA"		90	"COLOMBIA:  SANTA MARTA"	11.1	-74.1													
	1825	3	2	7			"ALGERIA"		15	"ALGERIA:  BLIDA, ALGIERS"	36.4	2.8			10	7000					7000				
	1825	4			2934		"USA TERRITORY"	"GU"	170	"GUAM; NORTHERN MARIANA ISLANDS:  LADRONES ISLAND"	14	143.3			8										
	1825	9	21	1	655		"TRINIDAD AND TOBAGO"		90	"TRINIDAD:  PORT-OF-SPAIN"	10.4	-61.3													
	1825	10					"IRAN"		140	"IRAN:  SHIRAZ"	29.6	52.5			7										
	1825						"IRAN"		140	"IRAN:  HARHAZ"	36.1	52.6		6.7	8										
	1826	1			5445		"JAPAN"		30	"JAPAN:  BONIN ISLANDS [CHICHIJIMA ISLAND]"	27.07	142.21													
	1826	6	18	3			"COLOMBIA"		160	"COLOMBIA:  ENGATIVA,BOGOTA,RAMIRIQUI,UMBITA,TUNJA"	4.6	-73.9		8.2	9										
	1826	9	18	8			"CUBA"		90	"CUBA:  SANTIAGO DE CUBA"	20	-75.5													
	1826						"NEW ZEALAND"		170	"NEW ZEALAND:  FJORDLAND"	-45.8	166.5		8											
	1827	3	23				"CHINA"		30	"CHINA:  SHANXI PROVINCE"	34.9	111.1		5.3	7	84				55	84				55
	1827	6					"TURKEY"		140	"TURKEY:  TOKAT, ERBAA"	40.7	36.6			10										
	1827	8	9		663	2882	"RUSSIA"		50	"RUSSIA:  KAMCHATKA"	53	158.5													
	1827	9	26				"PAKISTAN"		60	"PAKISTAN:  LAHORE, PUNJAB"	31.6	74.3				1000									
	1827	11	16	22	664		"COLOMBIA"		160	"COLOMBIA:  BOGOTA, NEIVA, POPAYAN, PASTO, HUILA"	1.8	-76.4		7	11	250					250				
	1827	11	30	6			"MARTINIQUE"		90	"MARTINIQUE"	14.4	-61													
	1828	2	2	13			"ITALY"		130	"ITALY:  ISCHIA ISLAND"	40.7	13.9			10	28					28				
	1828	3	30	12	666		"PERU"		160	"PERU:  LIMA, CALLAO"	-12.13	-77.809	50	8.3	7	30					30				
	1828	5	26		667		"JAPAN"		30	"JAPAN:  AMAKUSA ISLANDS"	32.6	129.9		6.4											
	1828	6	6				"INDIA"		60	"INDIA:  KASHMIR"	34.2	74.5				1000									
	1828	8	9	16			"AZERBAIJAN"		40	"AZERBAIJAN:  SHEMAKHA (SEMACHA)"	40.7	48.4	10	5.7	8										
	1828	11	9	10	668		"PHILIPPINES"		170	"PHILIPPINES:  MANILA"	14.55	120.9			8										
	1828	12	18		669		"JAPAN"		30	"JAPAN:  SANDYO IN ETIGO"	37.5	139.5				1443				11750	1443				11750
	1828	12	29		670		"INDONESIA"		60	"INDONESIA:  SULAWESI"	-7	119			9										
	1829	3	7	22			"RUSSIA"		40	"RUSSIA:  LAKE BAYKAL"	51.4	104.1	40	7.5	10										
	1829	3	21	18			"SPAIN"		130	"SPAIN:  TORREVIEJA, MURCIA"	38.2	-0.9			10	2000				3000	2000				3000
	1829	4	23	16			"GREECE"		130	"GREECE-BULGARIA"	41.2	24.5			10										
	1829	5	5				"GREECE"		130	"GREECE:  XANTHI-DRAMA"	41.2	24.5			9										
	1829	9	26	19	673		"CHILE"		160	"CHILE:  VALPARAISO"	-33.05	-71.63		7	11										
	1829	11	18				"CHINA"		30	"CHINA:  ANHUI PROVINCE"	33.2	117.9		5.5	7										
	1829	11	19				"CHINA"		30	"CHINA:  SHANDONG PROVINCE"	36.6	118.5		6	8	200					200				
	1829	11	26				"ROMANIA"		110	"ROMANIA:  BUCHAREST"	44.2	26.1			10										
	1830	1	18	9	675		"PHILIPPINES"		170	"PHILIPPINES:  MANILA"	14.55	120.9			9										
	1830	1					"MEXICO"		150	"MEXICO:  OAXACA"	17	-96.3													
	1830	3	9	7			"RUSSIA"		40	"RUSSIA"	43.5	47.5			9	410									
	1830	3	9	11			"RUSSIA"		40	"RUSSIA:  DAGESTAN"	43	47	16	6.3	9	40									
	1830	4	3				"IRAN"		140	"IRAN:  CHAHARDANGEH,SEMNAN,DAMGHAN"	36.4	54.3		6.5											
	1830	5	9				"IRAN"		140	"IRAN:  DAMAVAND,TEHRAN,SEMNAN,DAMGHAN"	35.7	52.1				500									
	1830	6	12				"CHINA"		30	"CHINA:  HEBEI PROVINCE"	36.4	114.2		7.5	10	7477				200000	7477				200000
	1830	8	19				"JAPAN"		30	"JAPAN:  KYOTO"	35	136				280									
	1830	9	16		676		"PHILIPPINES"		170	"PHILIPPINES:  MANILA"	14.55	120.9													
	1831	4	3				"GREECE"		130	"GREECE:  SAMOS (DODECANESE)"	37.8	27			7										
	1831	5	26	10			"ITALY"		130	"ITALY:  COAST OF LIGURIA"	43.8	7.8			9	4									
	1831	8	11				"BARBADOS"		90	"BARBADOS, SAINT VINCENT, DOMINICA, ANTIGUA"	13.1	-59.617				3000					3000				
	1831	9	11				"ITALY"		130	"ITALY:  REGGIO DI CALABRIA"	38.1	15.7			9				3						
	1831	9	28				"CHINA"		30	"CHINA:  ANHUI PROVINCE"	32.8	116.8		6.3	8	33					33				
	1831	10	9	2			"CHILE"		160	"CHILE: PERU:  TACNA,ARICA,AREQUIPA"	-18.5	-71		7.8	7										
	1831	12	3	23	677		"TRINIDAD AND TOBAGO"		90	"TRINIDAD & ST. CHRISTOPHER"	12.4	-61.5		7											
	1831				5552		"NEW ZEALAND"		170	"NEW ZEALAND:  NORTH ISLAND:  POVERTY BAY"	-38.7	178													
	1832	1	13	13			"ITALY"		130	"ITALY:  FOLIGNO"	42.9	12.6			10	22									
	1832	1	22				"AFGHANISTAN"		40	"AFGHANISTAN"	36.5	71													
	1832	3	8	18			"ITALY"		130	"ITALY:  CUTRO"	39	17			10										
	1833	1	19		678		"ALBANIA"		130	"ALBANIA:  VLORE, SAZAN, KANINA, NARTA"	40.4	19.9		6.4	10										
	1833	3	10		680		"MEXICO"		150	"S. MEXICO"	16.8	-99.9													
	1833	4	25	14			"CHILE"		160	"CHILE"	-28.5	-71.3			10										
	1833	5	30				"INDIA"		60	"INDIA:  LOHUGHAR"	29.4	80.1		7.5											
	1833	8	26				"NEPAL"		60	"NEPAL: KATHMANDU; INDIA: BIHAR; CHINA: TIBET"	28.3	85.5		7.7	9	500					500				
	1833	9	6		3578		"CHINA"		30	"CHINA:  YUNNAN PROVINCE"	25.2	103		8	11	6700				87620	6700				87620
	1833	9	18	10	5657		"PERU"		160	"PERU-CHILE:  PERU:  TACNA; CHILE:  ARICA"	-18.251	-71.01		7.7	8	700		25		1001	700		25		1001
