"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Tsu"	"Vol"	"Country"	"Area"	"Region"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Missing"	"Injuries"	"Damage ($Mil)"	"Houses Destroyed"	"Total Deaths"	"Total Missing"	"Total Injuries"	"Total Damage ($Mil)"	"Total Houses Destroyed"
"[""1200 <= Year >= 2021""]"																									
	1305	5	3				"CHINA"		30	"CHINA:  SHANXI PROVINCE:  HUAIREN, DATONG"	39.8	113.1		6.5	9	2000				5800	2000				5800
	1306	9	12				"CHINA"		30	"CHINA:  NINGXIA:  KAICHENG"	35.9	106.1		6.5	9	5000					5000				
	1306						"IRAN"		140	"IRAN:  QESHM ISLAND"	26.6	56.2													
	1306						"GREECE"		130	"GREECE:  CRETE"	35.5	25.5			10										
	1310	7					"CHINA"		30	"CHINA:  HUBEI PROVINCE:  KIN MEN"	31.2	112.2				3466				21829	3466				21829
	1310						"IRAQ"		140	"IRAQ:  SHAHRIZUR, SULAIMANIYA, BAGHDAD"	35.6	46		5.5	7										
	1314	10	5				"CHINA"		30	"CHINA:  HEBEI:  SHEXIAN"	36.5	113.8		6	8	340					340				
	1319						"IRAN"		140	"IRAN:  ST THADDEUS; ARMENIA:  ARARAT, SINI, ANI"	39.1	44.5			7	75					75				
	1319						"ITALY"		130	"ITALY:  MONTECASSINO"	41.5	13.8			10										
	1320	12	9				"PORTUGAL"		130	"PORTUGAL:  CABO SAN VICENTE:  SW"	36	-10.7			10										
	1323						"CROATIA"		130	"BALKANS NW:  CROATIA"	45.2	14.7			10										
	1327	9					"CHINA"		30	"CHINA:  SICHUAN PROVINCE"	30.1	102.7		4.8	6										
	1328	12	1				"ITALY"		130	"ITALY:  NORCIA"	42.8	13			10	5000									
	1329	6	28		3112	5844	"ITALY"		130	"ITALY:  SICILY"	37.734	15.004			7										
	1331	8	15		114		"JAPAN"		30	"SAGAMI, JAPAN"	33.7	135.2		7											
	1332	2	12		115		"TURKEY"		140	"MARMARA SEA"															
	1336	5	9				"IRAN"		140	"IRAN:  QESHM"	26.6	56.2													
	1336	10	21	1			"IRAN"		140	"IRAN:  KHAF"	34.7	59.7		7.6		20000									
	1337	9	8				"CHINA"		30	"CHINA:  HEBEI:  HUAILAI"	40.4	115.7		6.5	8										
	1339						"LEBANON"		140	"LEBANON:  TARABULUS (TRIPOLIS)"	34.3	35.5			8	60									
